id,name,country,disaster_type,year,month,day
50234,Somalia: Flash Floods - Apr 2020,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF', 'primary': True}, {'id': 4611, 'name': 'Flood', 'code': 'FL'}]",2020,4,23
50259,Kenya: Floods and Landslides - Apr 2020,Kenya,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}, {'id': 4814, 'name': 'Mud Slide', 'code': 'MS'}]",2020,4,17
50224,Burundi: Floods and Landslides - Apr 2020,Burundi,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2020,4,13
49918,Tanzania: Floods - Jan 2020,United Republic of Tanzania,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2020,1,27
49578,Tropical Cyclone Pawan - Dec 2019,Somalia,"[{'id': 4618, 'name': 'Tropical Cyclone', 'code': 'TC', 'primary': True}]",2019,12,6
49713,Rwanda: Floods - Dec 2019,Rwanda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,12,6
49603,Burundi: Floods and Landslides - Dec 2019,Burundi,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2019,12,4
49518,Djibouti: Floods - Nov 2019,Djibouti,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,11,21
49333,Kenya: Floods and Landslides - Oct 2019,Kenya,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}]",2019,10,24
49293,Somalia: Floods - Oct 2019,Somalia,"[{'id': 4624, 'name': 'Flash Flood', 'code': 'FF'}, {'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,10,18
49388,Uganda: Floods and Landslides - Oct 2019,Uganda,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}, {'id': 4728, 'name': 'Land Slide', 'code': 'LS'}, {'id': 4814, 'name': 'Mud Slide', 'code': 'MS'}]",2019,10,17
49373,Tanzania: Floods - Oct 2019,United Republic of Tanzania,"[{'id': 4611, 'name': 'Flood', 'code': 'FL', 'primary': True}]",2019,10,16
49468,Sudan: Rift Valley Fever Outbreak - Oct 2019,Sudan,"[{'id': 4642, 'name': 'Epidemic', 'code': 'EP', 'primary': True}]",2019,10,10
49398,Horn of Africa: Locust Infestation - Oct 2019,Democratic Republic of the Congo,"[{'id': 5255, 'name': 'Insect Infestation', 'code': 'IN', 'primary': True}]",2019,10,3
